Individual ,Sire,Dam,Family,Culture,Length,Block,pH,photo_ID,Malformed
144,S1,D2,3,2,120.476,1,8.1,c5_2_3.tif,no
145,S1,D2,3,2,122.398,1,8.1,c5_2_4.tif,no
146,S1,D2,3,2,116.066,1,8.1,c5_2_4.tif,no
147,S1,D2,3,2,119.546,1,8.1,c5_2_4.tif,no
148,S1,D2,3,2,116.913,1,8.1,c5_2_5.tif,no
149,S1,D2,3,2,114.705,1,8.1,c5_2_6.tif,no
150,S1,D2,3,2,101.913,1,8.1,c5_2_6.tif,yes
151,S1,D2,3,2,111.502,1,8.1,c5_2_6.tif,yes
152,S1,D2,3,2,116.117,1,8.1,c5_2_6.tif,no
153,S1,D2,3,2,92.77,1,8.1,c5_2_7.tif,yes
154,S1,D2,3,2,116.877,1,8.1,c5_2_7.tif,no
155,S1,D2,3,2,117.322,1,8.1,c5_2_8.tif,no
156,S1,D2,3,2,99.168,1,8.1,c5_2_9.tif,yes
157,S1,D2,3,2,117.345,1,8.1,c5_2_9.tif,no
158,S1,D2,3,3,114.594,1,8.1,c5_3_.tif,no
159,S1,D2,3,3,118.493,1,8.1,c5_3_1.tif,no
160,S1,D2,3,3,118.522,1,8.1,c5_3_2.tif,no
161,S1,D2,3,3,110.558,1,8.1,c5_3_3.tif,yes
162,S1,D2,3,3,118.355,1,8.1,c5_3_3.tif,no
163,S1,D2,3,3,117.136,1,8.1,c5_3_3.tif,yes
164,S1,D2,3,3,117.148,1,8.1,c5_3_4.tif,no
165,S1,D2,3,3,118.89,1,8.1,c5_3_5.tif,no
166,S1,D2,3,3,116.085,1,8.1,c5_3_6.tif,no
167,S1,D2,3,3,113.866,1,8.1,c5_3_8.tif,yes
168,S1,D2,3,3,100.487,1,8.1,c5_3_8.tif,yes
169,S1,D2,3,3,117.2,1,8.1,c5_3_9.tif,no
170,S1,D2,3,3,115.585,1,8.1,c5_3_10.tif,no
171,S1,D2,3,3,114.372,1,8.1,c5_3_11.tif,no
172,S1,D2,3,3,114.482,1,8.1,c5_3_12.tif,no
173,S1,D2,3,3,117.802,1,8.1,c5_3_13.tif,no
174,S1,D2,3,3,118.143,1,8.1,c5_3_13.tif,no
175,S1,D2,3,3,111.828,1,8.1,c5_3_14.tif,no
